Toronto — Housing Standards (% of Households in Core Housing Need)  
2006 Tenure - Total
,Below Affordability Standard,Below Adequacy Standard,Below Suitability Standard,Below One or More Housing Standards,Above Standards,Total,
Agincourt/Malvern,62.1,40.2,33.8,48.9,0.0,24.4,
Ajax/Pickering,45.7,26.2,24.2,38.4,0.0,11.8,
Alderwood,57.6,28.8,16.7,44.0,0.0,12.5,
Aurora,38.8,26.1,15.8,33.3,0.0,8.7,
Banbury-Don Mills/York Mills,54.2,35.5,23.4,42.5,0.0,13.4,
Bathurst Manor,66.8,37.7,26.8,53.2,0.0,24.8,
Bay Street Corridor,38.2,30.9,35.1,32.8,0.0,15.5,
Bayview Village,52.1,34.8,33.9,41.6,0.0,17.2,
Bayview Woods-Steeles/Hillcrest Village,61.2,41.8,40.0,53.2,0.0,22.0,
Bedford Park-Nortown,53.1,31.9,30.9,42.8,0.0,13.3,
Beechborough-Greenbrook,83.8,48.0,40.9,60.7,0.0,33.0,
Bendale,66.7,51.1,43.6,53.7,0.0,22.2,
Birchcliffe-Cliffside,60.5,37.3,36.4,49.5,0.0,18.7,
Black Creek,79.7,54.1,56.6,61.0,0.0,33.2,
Bradford/West Gwillimbury/New Tecumseth,53.7,28.1,24.5,43.4,0.0,11.2,
Brampton (East),46.6,29.4,23.3,37.5,0.0,15.8,
Brampton (West),47.3,31.5,28.0,39.2,0.0,15.9,
Briar Hill-Belgravia,70.3,42.9,35.8,51.7,0.0,26.6,
Broadview North,79.6,54.5,40.7,60.6,0.0,33.7,
Bronte,51.2,24.3,8.7,40.8,0.0,10.5,
Brookhaven-Amesbury,77.3,53.9,45.8,59.5,0.0,33.1,
Cabbagetown-South St. James Town,59.9,34.0,25.8,47.2,0.0,20.0,
Caledon,37.1,9.5,16.1,30.1,0.0,7.3,
Caledonia-Fairbank,61.3,36.9,42.9,45.9,0.0,24.7,
Casa Loma,43.3,24.4,25.0,36.7,0.0,13.8,
Churchill Meadows/Erin Mills,48.8,36.0,28.3,42.2,0.0,13.2,
Church-Yonge Corridor,54.3,35.7,36.0,46.1,0.0,21.1,
Clairlea-Birchmount,73.9,53.0,32.2,56.1,0.0,24.5,
Clanton Park,73.6,37.9,33.3,54.6,0.0,25.5,
Clarkson/Lorne Park,57.9,43.2,27.6,46.9,0.0,14.9,
Cliffcrest,69.5,51.4,45.1,56.6,0.0,20.9,
Cooksville,68.7,49.1,27.5,52.4,0.0,23.4,
Crescent Town,79.6,51.6,44.8,58.2,0.0,36.1,
Danforth Village-East York,65.6,33.1,30.6,49.2,0.0,20.6,
Don Valley Village/Pleasant View,69.1,47.2,37.2,53.6,0.0,24.6,
Dorset Park,68.0,51.5,55.3,56.1,0.0,30.3,
Dovercourt/Davenport/Junction,61.6,45.0,38.0,50.0,0.0,24.5,
Downsview,73.7,47.7,52.0,57.0,0.0,29.6,
Dufferin Grove/Little Portugal,68.4,45.7,34.0,53.0,0.0,27.5,
East End-Danforth,66.6,53.2,43.3,56.4,0.0,23.0,
East Gwillimbury/Newmarket,46.8,22.5,27.1,39.3,0.0,10.9,
Edenbridge-Humber Valley,61.8,34.0,12.0,43.2,0.0,15.7,
Eglinton East,76.5,53.0,49.6,60.1,0.0,32.7,
Elms-Old Rexdale,66.1,48.4,40.0,50.9,0.0,24.7,
Englemount-Lawrence,71.4,48.0,60.2,60.1,0.0,29.1,
Eringate-Centennial-West Deane,62.1,42.0,34.2,47.7,0.0,14.4,
Etobicoke West Mall,70.0,44.5,33.7,54.2,0.0,19.4,
Flemingdon Park,81.5,58.0,59.0,63.8,0.0,39.6,
Forest Hill North,62.0,43.3,32.5,48.8,0.0,21.1,
Forest Hill South,41.3,17.7,13.5,29.5,0.0,8.4,
Georgina,55.7,32.4,37.2,45.5,0.0,15.7,
Guildwood,55.1,38.9,8.6,42.7,0.0,12.0,
Henry Farm,76.7,47.3,35.6,53.5,0.0,30.8,
High Park North/Junction,60.2,40.3,33.1,47.6,0.0,20.4,
High Park-Swansea,60.8,36.8,24.6,46.8,0.0,17.9,
Humber Heights-Westmount,70.6,48.3,37.3,60.1,0.0,27.7,
Humewood-Cedarvale,60.4,39.4,28.2,47.9,0.0,22.8,
Ionview,78.9,48.0,57.6,60.6,0.0,33.1,
Islington/City Centre North,68.3,38.5,39.7,51.8,0.0,22.2,
Islington/City Centre South,52.2,18.0,22.5,39.7,0.0,12.3,
Keelesdale-Eglinton West,71.2,35.1,50.8,53.0,0.0,25.1,
Kennedy Park,72.4,49.4,42.9,58.1,0.0,29.3,
Kensington-Chinatown,71.7,50.9,41.8,60.2,0.0,34.8,
Kingsview Village-The Westway,69.9,51.7,39.2,54.3,0.0,26.6,
Kingsway South,44.3,0.0,16.1,32.4,0.0,7.0,
Lambton Baby Point,61.6,54.1,36.5,53.7,0.0,18.5,
L'Amoreaux/Steeles/Milliken,69.1,43.3,38.9,53.8,0.0,26.0,
Lansing-Westgate,52.4,37.5,28.0,41.6,0.0,16.3,
Lawrence Park North,52.4,29.0,18.2,41.1,0.0,9.7,
Lawrence Park South,42.7,28.3,18.8,32.7,0.0,8.2,
Leaside-Bennington,49.2,36.7,18.2,42.2,0.0,10.2,
Little Italy/Trinity-Bellwoods,58.4,36.3,32.0,46.0,0.0,21.3,
Long Branch,68.2,44.7,37.5,53.5,0.0,23.3,
Malton,59.8,41.3,32.7,46.8,0.0,23.7,
Maple Leaf,79.0,43.7,37.0,58.6,0.0,26.0,
Markham,50.3,32.1,24.5,42.3,0.0,14.8,
Meadowvale,43.6,23.1,20.4,34.4,0.0,11.3,
Milton/Halton Hills,42.1,21.4,19.1,35.4,0.0,9.0,
Mimico,60.0,46.5,31.6,49.4,0.0,21.3,
Mississauga Centre/Streetsville,52.4,34.8,27.2,41.2,0.0,17.0,
Moore Park,42.9,22.2,11.9,33.1,0.0,10.4,
Morningside,75.7,60.1,53.5,62.6,0.0,33.3,
Moss Park/Regent Park,72.7,64.2,67.6,67.2,0.0,35.3,
Mount Dennis,67.9,48.3,59.2,55.2,0.0,33.7,
Mount Olive-Silverstone-Jamestown/Thistletown,71.4,45.5,50.2,53.1,0.0,31.2,
Mount Pleasant East,60.0,19.7,22.1,46.6,0.0,13.7,
Mount Pleasant West,57.5,38.0,32.2,47.1,0.0,20.6,
New Toronto,75.1,45.4,37.7,61.4,0.0,30.0,
North St. James Town,85.2,55.7,58.2,66.4,0.0,45.3,
Oakridge,83.2,74.1,62.4,72.1,0.0,43.1,
Oakville (excl. Bronte),44.0,30.3,24.9,38.4,0.0,9.6,
Oakwood-Vaughan,69.8,45.4,38.0,54.4,0.0,27.5,
O'Connor-Parkview,72.9,56.2,43.0,58.2,0.0,27.1,
Old East York,69.1,49.2,45.5,56.4,0.0,18.6,
Orangeville/Mono,49.6,20.5,19.2,40.3,0.0,12.5,
Parkwoods-Donalda,71.4,48.1,39.0,55.1,0.0,24.7,
Playter Estates-Danforth,64.2,43.1,31.4,51.2,0.0,20.6,
Port Credit,56.9,28.7,29.3,44.7,0.0,14.5,
Princess-Rosethorn,53.8,22.6,18.5,40.0,0.0,8.1,
Rexdale-Kipling,75.8,41.9,44.8,57.5,0.0,25.2,
Richmond Hill/Vaughan/King,46.3,28.0,22.0,39.3,0.0,12.7,
Riverdale,61.8,52.2,31.5,51.3,0.0,22.8,
Rockcliffe-Smythe,71.0,47.0,52.8,57.5,0.0,28.8,
Roncesvalles,67.3,50.3,34.3,52.2,0.0,26.9,
Rosedale,31.7,25.6,7.9,26.5,0.0,8.1,
Rouge,45.3,24.0,19.8,35.9,0.0,10.6,
Rustic/Pelmo Park/Humberlea,70.4,57.7,47.5,58.8,0.0,26.9,
Scarborough Village,82.2,61.0,61.2,67.2,0.0,40.5,
South Parkdale/King West,69.0,49.3,52.3,55.8,0.0,31.5,
St. Andrew-Windfields,55.2,34.7,28.9,43.2,0.0,12.1,
Stonegate-Queensway,60.2,40.7,28.0,45.5,0.0,16.2,
Tam O'Shanter-Sullivan,74.7,51.1,40.2,60.2,0.0,29.6,
The Beaches,47.4,30.7,25.7,38.1,0.0,12.6,
Thorncliffe Park,82.8,65.0,55.2,66.4,0.0,46.3,
University/Annex,46.8,26.7,31.2,38.9,0.0,16.9,
Uxbridge,51.8,25.0,20.7,43.4,0.0,11.6,
Victoria Village,74.5,55.4,55.8,61.8,0.0,32.3,
Waterfront Communities-The Island,39.4,24.0,26.8,33.3,0.0,14.3,
West Hill,69.6,56.7,56.0,60.7,0.0,27.1,
West Humber-Clairville,57.8,33.9,25.4,43.1,0.0,20.0,
Westminster-Branson,80.0,55.8,50.9,67.4,0.0,40.0,
Weston,76.6,57.3,41.0,62.4,0.0,35.5,
Wexford-Maryvale,71.8,47.0,42.6,56.7,0.0,24.3,
Whitchurch/Stouffville,49.2,11.4,18.0,40.4,0.0,11.1,
Willowdale East/Newtonbrook East,49.6,39.6,27.6,41.4,0.0,17.7,
Willowdale West/Newtonbrook West,69.0,47.7,40.4,56.0,0.0,24.2,
Willowridge-Martingrove-Richview,63.5,46.8,31.5,51.4,0.0,20.7,
Woburn,68.2,50.8,47.7,55.6,0.0,26.5,
Woodbine Corridor/Greenwood-Coxwell,67.9,50.8,29.1,52.6,0.0,23.8,
Woodbine-Lumsden,60.0,36.6,28.7,43.3,0.0,20.5,
Wychwood,65.3,49.6,49.4,56.5,0.0,25.0,
Yonge-Eglinton,55.0,30.0,16.2,41.8,0.0,14.2,
Yonge-St.Clair,46.0,22.6,20.4,35.7,0.0,13.4,
Yorkdale-Glen Park,76.1,45.6,43.8,61.0,0.0,25.4,
Toronto,58.3,41.7,35.2,47.6,0.0,19.0,

Notes
% of Households in Core Housing Need = Households in Core Housing Need / Households Tested for Core Housing Need
"Data include all non-farm, non-band, non-reserve private households reporting positive incomes and shelter cost-to-income ratios less than 100 per cent."
"A household is in core housing need if its housing does not meet one or more standards for housing adequacy (repair), suitability (crowding), or affordability and if it would have to spend 30 per cent or more of its before-tax income to pay the median rent (including utilities) of appropriately sized alternative local market housing. Adequate housing does not require any major repairs, according to residents. Suitable housing has enough bedrooms for the size and make-up of resident households. Affordable housing costs less than 30 per cent of before-tax household income."
"Affordable housing costs less than 30 per cent of before-tax household income. Includes households below more than one standard (in addition to the affordability standard). Accordingly, the sum of the number of households below each standard will be larger than the total number of households below standards."
