Toronto — Housing Standards (% of Households in Core Housing Need)  
2016 Tenure - Total
,Below Affordability Standard,Below Adequacy Standard,Below Suitability Standard,Below One or More Housing Standards,Above Standards,Total,
Agincourt/Malvern,66.4,41.8,34.5,52.6,0.0,24.2,
Ajax/Pickering,49.5,21.1,22.8,41.2,0.0,12.5,
Alderwood,54.9,25.0,25.0,40.4,0.0,11.9,
Aurora,48.4,23.2,26.6,41.8,0.0,11.3,
Banbury-Don Mills/York Mills,55.6,21.6,33.3,46.8,0.0,15.5,
Bathurst Manor,67.5,44.0,39.6,54.8,0.0,24.0,
Bay Street Corridor,38.6,35.4,34.4,34.6,0.0,16.4,
Bayview Village,53.4,33.3,44.9,46.4,0.0,20.7,
Bayview Woods-Steeles/Hillcrest Village,62.5,42.2,39.9,54.9,0.0,21.9,
Bedford Park-Nortown,52.5,20.0,37.4,42.8,0.0,13.7,
Beechborough-Greenbrook,84.1,46.5,51.0,65.2,0.0,33.3,
Bendale,64.6,41.7,43.8,52.4,0.0,23.2,
Birchcliffe-Cliffside,63.0,50.6,45.0,54.0,0.0,18.9,
Black Creek,80.3,53.5,53.5,63.0,0.0,34.4,
Bradford/West Gwillimbury/New Tecumseth,53.9,21.6,22.5,45.7,0.0,12.6,
Brampton (East),48.2,26.5,25.5,39.3,0.0,16.8,
Brampton (West),50.0,34.8,27.1,42.0,0.0,16.7,
Briar Hill-Belgravia,70.5,47.6,36.1,54.1,0.0,25.7,
Broadview North,79.6,43.9,53.7,63.3,0.0,33.1,
Bronte,50.8,24.1,18.9,43.9,0.0,11.8,
Brookhaven-Amesbury,81.5,58.6,58.5,66.9,0.0,37.3,
Cabbagetown-South St. James Town,61.4,45.0,52.2,53.3,0.0,23.5,
Caledon,43.2,21.5,14.4,35.5,0.0,9.1,
Caledonia-Fairbank,61.8,35.7,38.8,48.8,0.0,20.0,
Casa Loma,45.0,16.2,29.5,36.9,0.0,14.5,
Churchill Meadows/Erin Mills,51.2,26.4,31.8,43.6,0.0,14.3,
Church-Yonge Corridor,48.2,36.8,25.0,41.8,0.0,18.9,
Clairlea-Birchmount,66.3,47.5,48.0,54.5,0.0,24.2,
Clanton Park,67.0,34.4,35.5,51.8,0.0,23.0,
Clarkson/Lorne Park,58.9,27.2,42.8,47.5,0.0,15.5,
Cliffcrest,71.0,46.4,53.1,59.2,0.0,21.6,
Cooksville,74.8,37.9,48.9,59.3,0.0,26.4,
Crescent Town,85.1,52.7,60.5,66.9,0.0,42.0,
Danforth Village-East York,67.0,32.5,40.2,52.3,0.0,18.6,
Don Valley Village/Pleasant View,69.3,36.2,42.7,54.8,0.0,24.5,
Dorset Park,72.0,45.2,44.8,58.0,0.0,30.0,
Dovercourt/Davenport/Junction,63.4,36.1,38.8,51.8,0.0,22.0,
Downsview,75.7,48.9,47.4,59.0,0.0,30.1,
Dufferin Grove/Little Portugal,53.4,31.1,33.3,45.3,0.0,21.0,
East End-Danforth,69.6,34.4,57.3,59.5,0.0,22.6,
East Gwillimbury/Newmarket,54.6,25.3,26.7,46.4,0.0,13.2,
Edenbridge-Humber Valley,67.6,28.6,42.6,52.8,0.0,19.4,
Eglinton East,79.0,54.8,51.4,61.6,0.0,33.8,
Elms-Old Rexdale,75.9,52.4,50.0,59.7,0.0,29.8,
Englemount-Lawrence,72.8,46.9,40.2,57.5,0.0,28.5,
Eringate-Centennial-West Deane,59.5,28.6,31.5,46.5,0.0,13.5,
Etobicoke West Mall,68.6,30.9,44.1,55.9,0.0,22.1,
Flemingdon Park,84.4,66.0,57.0,67.0,0.0,41.9,
Forest Hill North,69.9,38.8,43.9,54.2,0.0,24.0,
Forest Hill South,49.1,17.6,40.9,39.8,0.0,12.6,
Georgina,57.6,30.1,23.1,47.5,0.0,15.2,
Guildwood,56.6,20.7,33.3,47.9,0.0,13.1,
Henry Farm,65.3,45.7,38.7,51.0,0.0,28.9,
High Park North/Junction,60.2,32.3,38.0,49.7,0.0,19.0,
High Park-Swansea,53.3,30.0,29.8,44.1,0.0,15.2,
Humber Heights-Westmount,63.9,39.6,43.1,54.7,0.0,22.0,
Humewood-Cedarvale,66.5,35.9,42.5,54.3,0.0,23.9,
Ionview,80.8,54.4,46.4,60.5,0.0,31.2,
Islington/City Centre North,63.7,37.6,41.8,51.4,0.0,22.2,
Islington/City Centre South,47.1,22.1,23.7,37.0,0.0,13.3,
Keelesdale-Eglinton West,74.4,42.3,37.7,59.7,0.0,26.9,
Kennedy Park,71.9,53.3,45.9,60.4,0.0,29.2,
